activity,amount,device,location,frequency,failed_attempts,risk_label,hour,day_of_week,is_weekend
5,0.0,5,19,6,0,1,22,1,0
0,326.49,4,16,4,3,1,21,1,0
5,0.0,4,17,8,3,0,23,2,0
4,12075.52,5,8,2,3,0,21,6,1
6,6647.15,4,13,2,0,1,18,3,0
1,0.0,3,6,1,0,1,14,5,1
3,379.34,6,13,3,1,1,22,5,1
2,1219.22,0,18,1,3,1,14,0,0
7,2872.29,2,4,2,0,1,13,3,0
9,1343.01,3,10,2,0,1,17,6,1
6,13621.89,6,0,1,0,1,17,1,0
0,364.41,4,8,1,0,1,12,3,0
6,19723.44,0,3,3,1,1,13,6,1
3,436.11,5,15,1,2,1,21,1,0
1,0.0,3,14,9,0,1,14,5,1
3,179.62,0,3,5,0,1,10,5,1
6,2062.89,0,13,4,0,1,1,0,0
5,0.0,5,8,3,1,1,8,0,0
2,2957.16,3,8,3,1,1,14,2,0
5,0.0,0,16,3,0,1,23,1,0
9,1423.19,4,2,6,0,1,20,1,0
2,1168.32,1,5,1,1,1,10,1,0
1,0.0,3,6,4,1,1,17,1,0
5,0.0,5,7,2,0,1,9,4,0
9,968.24,2,18,2,2,1,10,0,0
8,0.0,3,8,1,0,0,21,2,0
0,84.68,4,16,3,1,1,11,5,1
3,92.43,6,16,6,0,1,19,4,0
5,0.0,3,14,1,0,1,12,5,1
3,17.71,6,14,2,0,1,14,6,1
6,10511.49,0,12,4,0,1,10,3,0
7,903.42,5,2,1,0,1,19,4,0
2,252.64,6,7,9,2,1,19,2,0
0,32.82,6,8,1,3,0,6,1,0
1,0.0,4,8,5,1,0,21,6,1
6,10040.82,4,5,2,1,0,23,1,0
0,393.94,1,4,3,1,1,13,3,0
7,2140.76,0,11,4,0,1,6,2,0
0,227.92,4,4,3,0,1,18,3,0
8,0.0,2,5,1,0,1,15,6,1
4,10446.04,2,9,1,0,0,17,0,0
3,393.51,1,8,1,0,1,12,1,0
8,0.0,2,0,2,2,1,19,5,1
4,18948.21,2,18,3,0,1,9,5,1
0,410.08,4,8,2,1,1,12,6,1
3,400.87,0,2,3,0,1,19,2,0
2,2147.13,1,8,2,3,0,18,1,0
8,0.0,5,15,1,0,1,17,0,0
4,19672.98,0,4,1,0,1,17,2,0
1,0.0,6,3,10,0,1,13,3,0
2,1048.24,1,12,1,1,1,11,2,0
0,31.89,5,3,5,3,1,17,5,1
9,484.61,1,11,1,1,1,15,3,0
3,300.18,2,14,5,0,1,12,5,1
8,0.0,5,5,2,0,1,11,6,1
4,2328.93,0,1,5,3,1,11,4,0
6,4809.53,6,4,3,0,1,7,3,0
9,504.76,1,11,5,4,0,11,0,0
1,0.0,1,1,2,2,1,22,2,0
4,665.67,4,16,1,0,1,18,2,0
6,11475.65,6,5,1,1,1,10,4,0
0,438.66,0,10,5,0,1,1,5,1
4,12673.77,0,6,1,0,0,8,5,1
2,974.34,0,16,6,2,1,17,0,0
0,434.85,4,14,5,1,1,8,2,0
4,12666.42,5,2,4,0,0,16,0,0
3,170.37,3,14,2,1,1,0,0,0
7,2904.55,0,18,2,0,1,19,0,0
5,0.0,3,3,5,0,1,7,0,0
2,2647.03,2,10,2,0,1,11,2,0
0,365.73,5,10,1,0,1,18,4,0
5,0.0,0,4,1,0,1,0,4,0
6,6301.36,0,14,1,5,1,20,4,0
4,219.07,4,11,1,0,1,16,4,0
6,2843.26,1,18,1,0,1,8,0,0
5,0.0,4,16,2,1,1,19,2,0
3,199.08,6,15,1,0,1,10,6,1
8,0.0,0,10,3,0,1,14,3,0
1,0.0,0,4,4,0,1,14,4,0
0,48.72,2,4,3,2,1,21,6,1
7,178.43,6,11,2,1,1,6,6,1
2,1491.76,5,9,2,1,1,11,2,0
8,0.0,2,14,3,0,1,19,4,0
5,0.0,4,9,1,0,1,14,5,1
5,0.0,3,0,2,0,1,2,1,0
8,0.0,2,5,3,0,1,10,6,1
9,2944.33,0,18,5,0,1,22,2,0
7,878.33,1,12,9,5,1,18,1,0
2,24.1,5,5,6,4,1,12,6,1
6,4143.63,4,14,1,3,0,23,3,0
6,11636.37,3,8,1,1,1,14,4,0
1,0.0,1,18,1,0,1,17,6,1
2,1351.45,0,6,2,0,1,11,2,0
0,414.93,0,12,1,0,1,17,5,1
5,0.0,3,7,5,0,1,17,4,0
6,288.54,0,4,3,3,1,19,3,0
6,484.91,0,3,6,2,1,5,3,0
3,34.81,1,16,2,0,1,21,5,1
0,147.13,6,9,1,0,1,20,6,1
2,1260.61,5,7,2,0,1,16,2,0
9,2345.4,1,18,1,0,1,11,0,0
3,269.42,4,1,1,2,1,18,6,1
8,0.0,4,8,5,1,1,21,5,1
4,18969.95,6,18,2,0,1,19,2,0
3,10.33,2,14,6,2,1,21,0,0
2,1761.89,6,5,8,0,1,21,1,0
8,0.0,0,11,2,0,1,8,1,0
1,0.0,4,14,7,3,0,11,6,1
2,1809.15,6,10,2,0,1,21,4,0
6,16442.15,1,13,1,1,1,17,3,0
5,0.0,4,15,2,0,1,3,4,0
4,13036.84,0,5,1,0,1,17,6,1
2,2664.35,3,12,9,2,1,8,0,0
2,165.4,6,14,4,0,1,11,5,1
1,0.0,3,12,2,0,1,15,6,1
2,1916.38,2,2,2,2,1,23,3,0
1,0.0,4,0,1,0,1,9,5,1
2,2257.94,0,8,9,0,1,17,6,1
1,0.0,1,8,1,0,1,22,3,0
4,18014.08,3,7,2,3,1,19,4,0
5,0.0,0,11,5,0,1,12,4,0
9,1195.08,0,13,4,0,1,11,0,0
2,448.86,3,8,1,0,1,15,0,0
3,290.29,4,11,3,0,1,13,0,0
5,0.0,2,13,5,0,1,18,0,0
7,407.48,2,9,2,0,1,23,3,0
1,0.0,2,5,2,0,1,18,0,0
2,2342.65,4,15,1,0,1,14,4,0
8,0.0,1,16,3,0,1,17,2,0
3,301.08,6,12,1,2,1,9,5,1
2,2562.19,5,9,1,1,1,18,2,0
2,1943.88,6,2,2,4,0,15,3,0
3,133.48,6,4,1,0,1,13,3,0
0,345.36,2,5,1,1,1,13,4,0
9,2297.6,0,11,3,1,1,21,4,0
0,454.39,5,7,5,0,1,12,4,0
8,0.0,5,15,1,0,1,14,0,0
8,0.0,5,15,2,2,1,16,3,0
3,427.09,6,17,1,2,1,13,4,0
0,212.42,2,4,3,3,1,20,4,0
2,2337.93,5,10,2,0,1,13,5,1
3,394.75,5,4,2,0,1,18,1,0
7,2193.32,0,16,1,0,1,22,6,1
0,73.18,3,5,1,0,1,12,2,0
3,186.03,1,13,1,5,1,9,6,1
2,373.87,5,9,2,0,1,17,0,0
5,0.0,3,8,2,0,1,17,1,0
0,315.17,3,16,3,0,1,17,1,0
0,417.43,2,3,2,3,1,23,1,0
5,0.0,0,8,2,3,1,0,2,0
7,1372.97,3,5,6,2,0,23,0,0
6,1945.22,4,1,1,0,1,18,3,0
6,7483.81,1,18,2,2,1,11,6,1
2,2090.03,1,15,2,0,1,4,0,0
8,0.0,0,14,6,0,1,16,3,0
3,32.53,0,1,4,0,1,10,0,0
9,2066.28,4,0,3,0,1,16,6,1
5,0.0,1,5,5,0,1,16,2,0
8,0.0,6,11,2,0,0,23,3,0
6,17138.96,5,13,2,0,1,13,3,0
9,1689.19,0,10,1,0,1,16,4,0
6,1993.87,0,11,4,0,1,16,1,0
2,1479.8,3,9,1,0,1,19,1,0
6,15155.13,6,3,6,0,1,2,6,1
5,0.0,1,19,4,3,1,15,4,0
1,0.0,6,15,2,0,1,16,0,0
3,404.35,5,16,5,0,1,8,4,0
7,633.09,5,3,4,4,1,17,6,1
8,0.0,1,8,7,1,0,17,5,1
9,323.88,4,9,4,5,1,12,2,0
0,109.96,3,11,3,0,1,14,5,1
7,1535.21,5,13,2,0,1,19,4,0
5,0.0,0,5,2,0,1,18,0,0
4,3969.56,4,7,1,4,0,17,4,0
1,0.0,6,5,1,0,1,10,1,0
4,16870.64,2,10,4,0,1,11,2,0
9,482.31,4,15,3,0,1,14,0,0
3,498.35,5,12,1,0,1,19,3,0
1,0.0,6,14,1,0,1,21,4,0
3,31.49,3,7,1,4,1,21,0,0
1,0.0,5,15,4,0,1,19,4,0
3,361.27,0,9,1,2,1,1,5,1
3,318.81,3,16,3,0,1,13,6,1
9,322.88,2,2,2,0,1,18,3,0
9,663.5,6,18,3,0,1,18,2,0
6,883.37,3,18,4,3,1,15,2,0
2,556.06,4,1,3,0,1,16,3,0
0,339.13,1,7,2,1,1,10,3,0
4,1442.69,6,1,3,0,1,9,2,0
5,0.0,5,11,1,0,1,11,2,0
3,185.78,5,11,5,2,1,11,4,0
0,369.44,3,5,3,2,1,16,6,1
9,785.55,0,3,2,2,1,20,1,0
9,1533.68,4,5,5,0,1,12,3,0
3,88.02,4,14,2,0,1,15,1,0
6,5323.92,0,12,2,0,1,10,1,0
6,14089.54,5,9,2,0,1,14,5,1
9,758.5,2,5,2,1,1,23,0,0
3,91.15,4,6,2,1,1,6,0,0
8,0.0,1,6,1,2,1,17,5,1
2,1722.59,6,3,1,3,1,8,5,1
0,474.15,1,6,5,0,1,9,0,0
0,92.18,6,10,2,0,1,17,0,0
2,1818.51,3,15,2,1,1,9,1,0
5,0.0,1,16,2,0,1,21,0,0
1,0.0,0,5,3,0,1,11,3,0
6,5701.17,3,14,4,0,1,20,1,0
8,0.0,5,8,1,0,0,12,6,1
1,0.0,6,0,2,0,1,18,6,1
1,0.0,3,14,2,1,1,18,2,0
8,0.0,5,13,2,0,1,19,2,0
4,8735.78,6,13,2,5,0,5,1,0
2,1922.67,0,16,1,1,1,13,2,0
5,0.0,3,7,4,0,1,11,0,0
5,0.0,6,18,5,3,1,18,4,0
4,19262.99,2,6,2,0,0,13,3,0
9,2870.34,2,1,8,0,1,20,2,0
3,449.3,3,4,4,0,1,20,5,1
9,1609.28,3,4,4,0,1,17,5,1
4,5418.06,4,16,1,1,1,22,3,0
7,2505.65,3,3,1,4,1,19,5,1
3,191.89,6,15,2,5,0,11,0,0
5,0.0,6,13,2,2,1,14,4,0
3,164.67,6,10,2,2,1,0,1,0
3,479.68,4,4,4,0,1,11,5,1
2,1716.37,3,14,5,0,0,23,0,0
5,0.0,0,11,2,0,1,9,6,1
9,2576.21,3,6,1,2,1,2,1,0
8,0.0,2,12,2,0,1,12,6,1
2,2938.22,1,2,2,0,1,10,6,1
2,1923.54,6,4,6,0,1,21,4,0
0,306.64,0,17,4,0,1,12,5,1
2,2563.36,5,1,1,0,1,8,3,0
3,278.73,3,10,3,0,1,1,1,0
3,316.98,3,1,5,0,1,8,2,0
9,1337.31,6,11,3,0,0,23,5,1
8,0.0,1,18,2,0,1,13,3,0
2,1034.94,1,7,2,0,1,13,0,0
5,0.0,6,0,1,1,1,14,3,0
6,8473.68,6,2,3,0,1,10,3,0
2,872.34,5,11,1,0,1,16,1,0
2,2917.14,5,13,1,0,1,10,2,0
0,395.01,0,13,1,1,1,14,5,1
1,0.0,0,9,2,0,1,5,2,0
7,2214.17,3,16,9,0,0,1,3,0
9,1565.17,2,15,5,0,1,10,3,0
8,0.0,3,4,1,4,1,0,4,0
6,5012.01,0,11,1,0,1,14,4,0
7,953.63,0,15,4,0,1,15,6,1
0,450.34,6,1,1,0,1,13,0,0
4,18293.76,1,18,1,0,1,15,6,1
2,2649.38,4,18,1,4,0,16,6,1
3,385.21,5,18,1,1,1,8,1,0
5,0.0,3,8,5,1,0,9,6,1
5,0.0,0,10,5,0,1,21,1,0
4,5353.02,3,17,8,0,0,2,2,0
9,1972.35,6,4,1,0,1,15,4,0
2,2378.42,4,16,3,3,1,14,2,0
8,0.0,5,18,1,0,1,12,3,0
8,0.0,5,13,1,0,1,22,2,0
0,492.35,0,17,5,3,1,9,3,0
3,184.27,4,9,5,0,1,8,4,0
6,14485.43,5,14,5,0,1,19,3,0
6,15613.43,0,0,7,0,1,21,3,0
1,0.0,6,8,2,1,0,3,6,1
4,11526.33,1,3,2,0,1,7,0,0
0,51.69,0,3,3,0,1,14,0,0
7,730.73,6,10,3,0,1,10,2,0
0,92.94,6,3,1,2,1,11,3,0
6,14804.65,0,5,1,0,1,10,4,0
3,21.15,6,16,1,0,1,9,5,1
4,18125.5,2,6,3,0,1,14,3,0
1,0.0,5,12,1,0,1,16,4,0
9,2929.95,6,16,1,0,1,7,6,1
7,2767.2,4,13,3,0,1,11,3,0
0,407.83,0,7,7,3,1,16,5,1
1,0.0,6,7,3,0,1,16,1,0
1,0.0,1,8,1,0,1,23,2,0
9,2729.14,5,19,6,0,1,12,4,0
2,2182.6,2,0,7,2,0,18,2,0
6,2674.34,6,8,1,0,1,1,0,0
9,2539.18,0,4,2,0,1,13,0,0
5,0.0,5,7,4,0,1,21,3,0
8,0.0,1,2,3,2,1,20,6,1
9,1925.97,1,0,6,2,1,17,1,0
1,0.0,6,2,8,0,1,23,3,0
3,91.58,6,15,2,0,1,11,3,0
4,18759.96,2,0,1,0,1,17,2,0
0,168.8,5,14,1,1,1,16,1,0
1,0.0,1,8,1,0,0,17,0,0
2,2607.11,2,18,4,0,1,9,4,0
7,15.58,0,16,5,0,1,18,3,0
4,13206.44,6,13,6,0,1,13,1,0
8,0.0,6,5,1,3,1,1,4,0
0,309.43,6,6,2,0,1,17,0,0
8,0.0,1,5,1,0,1,21,0,0
9,1244.2,3,8,9,0,0,9,2,0
1,0.0,6,7,2,0,1,16,3,0
2,2651.57,3,13,3,0,1,10,2,0
5,0.0,4,13,1,0,1,11,4,0
9,1652.23,2,4,3,4,1,18,3,0
8,0.0,0,13,1,0,1,21,4,0
3,394.15,6,18,4,0,1,12,5,1
6,19393.79,5,16,1,0,1,10,0,0
0,355.58,3,16,1,0,1,11,2,0
6,7515.6,1,16,4,3,1,1,4,0
3,368.9,0,15,5,3,1,14,3,0
3,199.92,3,1,3,0,1,20,4,0
0,21.02,2,6,1,0,1,18,6,1
2,476.7,3,6,2,0,1,7,0,0
2,218.37,3,3,2,1,1,16,3,0
1,0.0,5,5,3,0,1,9,6,1
9,240.24,4,10,5,1,1,21,0,0
3,240.57,6,9,2,0,1,22,0,0
3,24.83,0,6,4,0,1,13,1,0
1,0.0,6,1,4,0,1,19,1,0
9,481.27,0,1,2,5,1,13,6,1
2,1989.52,0,16,3,0,1,6,1,0
0,478.38,6,2,2,0,1,5,0,0
2,1984.34,6,0,1,2,1,13,5,1
8,0.0,6,4,1,0,1,23,4,0
9,2463.16,3,9,4,0,1,11,6,1
1,0.0,4,6,2,3,1,14,4,0
2,407.16,1,1,9,0,1,5,4,0
4,18609.7,6,5,2,0,0,16,5,1
7,2137.83,2,13,1,0,1,10,2,0
6,2884.65,2,0,1,2,1,18,5,1
6,13697.28,3,15,2,0,1,14,4,0
1,0.0,4,13,7,1,1,11,6,1
4,3423.13,6,13,2,0,1,3,1,0
2,1849.31,3,11,6,1,1,10,2,0
7,1457.33,3,7,3,2,1,19,5,1
7,1983.7,5,5,1,0,1,17,2,0
3,205.38,6,9,3,0,1,11,0,0
0,464.34,5,7,1,0,1,13,4,0
8,0.0,5,8,2,1,1,10,4,0
9,1015.53,3,1,5,0,1,17,2,0
7,2177.13,3,10,3,2,1,10,6,1
6,17135.99,5,8,8,2,0,8,1,0
3,333.63,0,4,6,1,1,6,2,0
6,5581.89,2,7,1,0,1,4,3,0
2,1938.22,4,11,1,0,1,7,0,0
6,1454.73,1,3,3,3,1,17,6,1
8,0.0,5,17,2,0,1,21,0,0
5,0.0,1,3,2,5,1,12,5,1
5,0.0,6,5,2,2,1,16,4,0
1,0.0,3,11,2,0,1,16,3,0
7,80.97,3,2,3,0,1,23,3,0
8,0.0,1,3,5,1,1,4,5,1
4,4698.06,5,13,6,0,1,6,1,0
2,1899.82,1,11,5,0,1,21,5,1
4,15993.55,2,5,9,1,0,9,6,1
2,968.16,6,6,1,0,1,22,6,1
3,129.39,0,11,2,0,1,15,1,0
5,0.0,6,15,2,2,1,9,0,0
0,266.31,3,11,4,0,1,12,4,0
1,0.0,6,7,3,2,1,0,4,0
5,0.0,0,7,2,0,1,9,2,0
0,112.7,0,0,1,0,1,10,5,1
3,262.3,6,8,2,1,1,5,3,0
7,298.7,4,10,3,0,1,18,0,0
4,9127.07,4,11,9,0,0,12,4,0
0,76.89,0,12,6,0,1,20,3,0
6,8263.34,1,5,1,1,1,14,6,1
1,0.0,4,15,6,0,1,15,6,1
9,105.69,5,5,2,0,1,14,3,0
2,1078.43,5,18,4,2,1,10,5,1
2,2623.23,5,0,3,2,1,12,5,1
9,102.98,6,8,1,1,1,12,4,0
8,0.0,1,11,2,0,1,20,4,0
2,2943.85,5,17,3,4,0,10,5,1
8,0.0,2,10,2,0,1,21,5,1
9,2698.86,5,2,7,0,1,13,6,1
1,0.0,4,18,3,0,1,21,1,0
0,214.1,2,4,4,0,1,17,4,0
7,2505.67,2,1,4,0,1,14,3,0
4,2682.49,4,0,9,1,1,18,5,1
0,233.4,6,18,9,2,1,8,2,0
8,0.0,4,6,4,1,1,15,5,1
3,274.53,3,4,2,0,1,8,6,1
9,2926.93,2,7,4,5,1,11,4,0
8,0.0,3,3,3,0,1,17,1,0
8,0.0,4,8,1,3,0,7,5,1
6,10791.33,1,6,2,0,1,13,0,0
2,2149.31,2,12,2,0,1,12,5,1
1,0.0,5,7,2,2,1,19,5,1
2,627.31,3,19,3,0,1,13,3,0
2,1669.66,4,6,2,0,1,17,2,0
3,284.05,4,9,8,2,1,13,2,0
1,0.0,4,13,4,0,1,9,6,1
4,9635.69,1,7,5,0,1,13,2,0
4,1217.28,2,6,1,0,1,11,1,0
0,269.51,5,6,1,1,1,22,2,0
0,345.87,2,5,1,0,1,17,3,0
8,0.0,4,16,5,1,1,21,1,0
6,2375.48,2,1,1,0,1,8,0,0
5,0.0,0,1,3,0,1,18,6,1
1,0.0,3,2,4,0,1,17,0,0
3,68.27,3,14,4,3,1,10,4,0
8,0.0,2,7,2,0,1,1,4,0
6,16400.75,4,7,1,1,1,18,3,0
9,2554.63,1,1,1,2,1,13,0,0
9,686.52,3,16,2,0,1,7,2,0
8,0.0,6,14,3,2,1,13,6,1
7,2571.04,5,12,1,1,1,20,4,0
9,1977.35,5,8,1,3,1,6,6,1
7,1019.2,0,4,2,1,1,15,5,1
3,336.67,4,2,1,0,1,22,3,0
5,0.0,1,1,9,0,1,7,5,1
4,12483.49,0,16,2,0,1,18,2,0
0,275.79,0,13,2,3,1,19,6,1
1,0.0,6,1,4,2,1,13,5,1
1,0.0,1,1,3,0,1,13,6,1
9,171.93,5,12,9,0,1,10,5,1
2,2511.62,0,15,2,0,1,11,1,0
8,0.0,5,18,1,1,1,4,6,1
2,64.04,1,8,6,0,1,11,6,1
8,0.0,3,2,1,1,1,12,1,0
4,6025.44,0,7,1,2,1,23,3,0
5,0.0,4,11,8,1,0,11,4,0
0,42.96,2,2,3,0,1,19,6,1
8,0.0,6,0,4,0,1,9,0,0
4,10009.11,1,9,3,2,0,16,4,0
9,605.94,5,2,5,0,1,13,4,0
0,413.62,4,4,1,0,1,16,1,0
3,284.31,4,3,1,0,1,13,4,0
5,0.0,3,5,1,0,1,22,0,0
6,7968.06,3,8,2,0,0,19,6,1
4,2489.42,5,4,4,0,1,19,4,0
6,3544.33,0,8,2,0,0,23,4,0
1,0.0,0,17,2,1,1,13,3,0
5,0.0,2,8,2,4,0,17,0,0
7,2573.65,2,18,7,1,1,12,1,0
3,319.36,0,13,5,2,1,20,1,0
8,0.0,3,5,3,0,1,17,1,0
3,350.65,5,0,3,0,1,18,0,0
4,1690.53,0,1,1,0,1,8,2,0
3,438.02,0,12,1,0,1,8,6,1
1,0.0,3,7,7,0,1,22,3,0
0,353.62,6,9,1,0,1,9,6,1
3,415.36,4,7,5,0,1,13,5,1
1,0.0,2,14,1,0,1,20,2,0
0,125.39,5,11,1,0,1,13,4,0
1,0.0,3,10,1,0,1,17,4,0
5,0.0,1,1,1,2,1,10,2,0
0,93.23,4,10,4,0,1,13,2,0
5,0.0,2,14,7,0,0,23,5,1
9,942.47,0,7,3,3,1,20,1,0
2,168.43,5,0,1,2,1,9,1,0
8,0.0,1,3,4,0,1,23,0,0
0,98.52,6,15,3,0,1,9,1,0
1,0.0,5,10,2,0,1,21,3,0
