activity,amount,device,location,frequency,failed_attempts,risk_label,hour,day_of_week,is_weekend
Login,0.0,Mobile-Android,"Berlin, DE",3,1,Not Fraud,23,0,0
Online Purchase,383.03,POS-Terminal,"London, UK",2,0,Not Fraud,17,2,0
Money Transfer,11594.76,Desktop-Mac,"Delhi, IN",4,0,Not Fraud,21,3,0
Loan Application,16120.28,Desktop-Windows,"Sydney, AU",3,0,Not Fraud,19,5,1
Card Swipe,61.71,Desktop-Mac,"Sao Paulo, BR",2,1,Not Fraud,22,4,0
Card Swipe,237.79,ATM,"London, UK",7,0,Not Fraud,19,0,0
Loan Application,12226.12,Desktop-Windows,"Houston, US",1,1,Not Fraud,12,2,0
Wallet Top-up,35.4,Desktop-Mac,"Sydney, AU",4,1,Not Fraud,22,4,0
Money Transfer,5920.0,Tablet,"Mumbai, IN",3,0,Not Fraud,12,3,0
ATM Withdrawal,133.19,POS-Terminal,"Sydney, AU",4,0,Not Fraud,8,4,0
Loan Application,19533.31,Mobile-iOS,"Toronto, CA",2,0,Not Fraud,14,5,1
Login,0.0,ATM,"Sao Paulo, BR",1,0,Not Fraud,15,4,0
Card Swipe,176.95,Mobile-Android,"Dubai, AE",2,0,Not Fraud,22,5,1
Money Transfer,19878.67,Tablet,"Berlin, DE",1,0,Not Fraud,7,3,0
ATM Withdrawal,288.63,Mobile-iOS,"Moscow, RU",1,0,Not Fraud,4,1,0
Bill Payment,13.01,Mobile-Android,"London, UK",4,1,Not Fraud,13,6,1
Loan Application,13240.6,Mobile-iOS,"Moscow, RU",6,2,Fraud,21,1,0
ATM Withdrawal,301.57,Mobile-Android,"Bangalore, IN",2,0,Not Fraud,19,2,0
Money Transfer,11980.83,Desktop-Windows,"New York, US",1,1,Not Fraud,20,2,0
Bill Payment,1414.15,Tablet,"Bangalore, IN",5,4,Not Fraud,16,6,1
Money Transfer,17161.78,POS-Terminal,Tor Exit Node,5,0,Not Fraud,11,5,1
ATM Withdrawal,168.4,ATM,"Kolkata, IN",3,0,Not Fraud,23,0,0
Wallet Top-up,1088.53,Mobile-Android,"Houston, US",2,3,Not Fraud,18,0,0
Login,0.0,POS-Terminal,"Chicago, US",3,0,Not Fraud,23,0,0
Card Swipe,474.06,POS-Terminal,"Toronto, CA",4,0,Not Fraud,16,2,0
Card Swipe,280.12,POS-Terminal,"Singapore, SG",5,0,Not Fraud,12,6,1
ATM Withdrawal,412.07,Tablet,"Kolkata, IN",2,0,Not Fraud,10,5,1
Add Beneficiary,0.0,POS-Terminal,"London, UK",2,2,Not Fraud,13,1,0
Card Swipe,355.56,ATM,"Beijing, CN",1,4,Not Fraud,19,1,0
Money Transfer,17490.1,Mobile-Android,"Sao Paulo, BR",2,1,Not Fraud,13,6,1
Loan Application,13869.46,POS-Terminal,"Dubai, AE",2,0,Not Fraud,16,3,0
Loan Application,1414.99,POS-Terminal,"Los Angeles, US",9,1,Not Fraud,16,4,0
ATM Withdrawal,452.68,Desktop-Windows,"Mumbai, IN",1,0,Not Fraud,2,0,0
Money Transfer,12209.36,Tablet,"Chicago, US",2,0,Not Fraud,12,3,0
Wallet Top-up,478.14,POS-Terminal,"Kolkata, IN",3,0,Not Fraud,13,1,0
Card Swipe,62.26,POS-Terminal,"Toronto, CA",9,1,Not Fraud,12,0,0
Loan Application,14916.18,ATM,"London, UK",5,0,Not Fraud,19,4,0
Bill Payment,1886.6,ATM,"Bangalore, IN",3,1,Not Fraud,21,4,0
Add Beneficiary,0.0,Desktop-Windows,"Sydney, AU",6,2,Not Fraud,9,0,0
Password Change,0.0,ATM,"Kolkata, IN",5,1,Not Fraud,19,3,0
Money Transfer,15824.11,Desktop-Windows,"Beijing, CN",3,0,Not Fraud,0,6,1
Card Swipe,22.26,Tablet,"London, UK",1,2,Not Fraud,20,5,1
Login,0.0,Mobile-Android,"London, UK",2,0,Not Fraud,22,3,0
Loan Application,14858.27,ATM,"Sydney, AU",2,4,Fraud,8,6,1
Card Swipe,227.9,Desktop-Windows,"Lagos, NG",9,0,Fraud,10,2,0
Money Transfer,18982.77,POS-Terminal,"Moscow, RU",9,0,Fraud,19,0,0
Loan Application,4143.85,Mobile-iOS,"Dubai, AE",1,1,Not Fraud,19,5,1
Bill Payment,1622.95,Mobile-Android,"Chicago, US",2,1,Not Fraud,19,6,1
Bill Payment,2226.45,Desktop-Mac,"Berlin, DE",2,0,Not Fraud,14,4,0
Wallet Top-up,908.38,ATM,"Delhi, IN",3,0,Not Fraud,16,5,1
Password Change,0.0,Tablet,"Moscow, RU",2,0,Fraud,16,2,0
Money Transfer,15872.27,ATM,"Lagos, NG",5,0,Fraud,7,2,0
Card Swipe,205.38,POS-Terminal,"London, UK",8,1,Not Fraud,18,5,1
Money Transfer,1909.94,Mobile-iOS,"Lagos, NG",3,0,Not Fraud,7,6,1
Password Change,0.0,POS-Terminal,"New York, US",1,0,Not Fraud,20,0,0
Online Purchase,468.42,ATM,"Lagos, NG",1,0,Not Fraud,13,0,0
Loan Application,18585.23,Desktop-Windows,"Beijing, CN",2,0,Not Fraud,19,6,1
Loan Application,13164.03,Mobile-Android,"Sao Paulo, BR",1,0,Not Fraud,5,2,0
Loan Application,11944.66,Tablet,"New York, US",1,0,Fraud,20,6,1
ATM Withdrawal,115.63,Desktop-Windows,"Beijing, CN",3,0,Not Fraud,14,2,0
Add Beneficiary,0.0,Desktop-Windows,Tor Exit Node,4,1,Fraud,23,5,1
Login,0.0,Desktop-Mac,"Sydney, AU",1,0,Not Fraud,14,0,0
Login,0.0,ATM,"Toronto, CA",2,0,Not Fraud,13,0,0
Add Beneficiary,0.0,Tablet,"Bangalore, IN",3,0,Not Fraud,0,4,0
Loan Application,8038.97,Desktop-Windows,"London, UK",4,0,Not Fraud,6,3,0
Online Purchase,2718.24,ATM,"Chicago, US",1,0,Not Fraud,11,6,1
Money Transfer,3584.07,Tablet,"Berlin, DE",2,3,Not Fraud,18,6,1
Card Swipe,43.46,Tablet,"Los Angeles, US",2,0,Not Fraud,13,2,0
Money Transfer,12911.1,Tablet,"Delhi, IN",3,4,Fraud,23,0,0
Password Change,0.0,Desktop-Mac,"Los Angeles, US",6,0,Not Fraud,15,3,0
Login,0.0,Tablet,"Moscow, RU",2,3,Fraud,10,3,0
Password Change,0.0,Desktop-Mac,"Toronto, CA",4,1,Not Fraud,5,0,0
Loan Application,13289.06,POS-Terminal,"Delhi, IN",3,3,Fraud,21,5,1
Password Change,0.0,POS-Terminal,"Kolkata, IN",6,0,Not Fraud,19,4,0
Login,0.0,ATM,"Bangalore, IN",1,0,Not Fraud,12,5,1
Wallet Top-up,2313.77,POS-Terminal,"Mumbai, IN",4,0,Not Fraud,19,4,0
Bill Payment,2494.88,POS-Terminal,"Bangalore, IN",2,1,Not Fraud,18,2,0
Card Swipe,124.66,ATM,"Houston, US",3,0,Not Fraud,10,3,0
Add Beneficiary,0.0,Mobile-iOS,"Berlin, DE",1,0,Not Fraud,14,1,0
Wallet Top-up,2554.24,Desktop-Mac,"Singapore, SG",1,0,Not Fraud,10,1,0
Login,0.0,Mobile-iOS,"Delhi, IN",1,0,Not Fraud,12,6,1
Bill Payment,417.11,ATM,"Chicago, US",4,0,Not Fraud,10,5,1
ATM Withdrawal,115.67,Desktop-Mac,"Chicago, US",1,0,Not Fraud,8,4,0
Loan Application,9169.42,Tablet,"New York, US",2,0,Not Fraud,7,0,0
Online Purchase,1714.14,Desktop-Windows,"Los Angeles, US",2,0,Not Fraud,9,3,0
Login,0.0,Mobile-Android,"Mumbai, IN",1,0,Not Fraud,16,4,0
Login,0.0,Mobile-iOS,"Dubai, AE",3,5,Not Fraud,11,5,1
Money Transfer,14335.1,Mobile-Android,"Berlin, DE",6,0,Fraud,22,4,0
ATM Withdrawal,27.94,ATM,"New York, US",3,0,Not Fraud,16,5,1
Card Swipe,448.37,Desktop-Mac,"Mumbai, IN",4,0,Not Fraud,12,4,0
Add Beneficiary,0.0,Desktop-Windows,"Toronto, CA",1,1,Not Fraud,15,1,0
Bill Payment,2070.85,Desktop-Windows,"Moscow, RU",2,0,Not Fraud,11,0,0
Password Change,0.0,Mobile-Android,"Chicago, US",3,1,Not Fraud,14,0,0
Password Change,0.0,Mobile-iOS,"Beijing, CN",7,0,Not Fraud,12,2,0
Wallet Top-up,1104.02,Mobile-Android,"Sao Paulo, BR",2,0,Not Fraud,11,3,0
Online Purchase,2989.11,Mobile-Android,"Chicago, US",1,0,Not Fraud,10,4,0
Money Transfer,11022.44,POS-Terminal,"Sao Paulo, BR",4,0,Not Fraud,11,0,0
Money Transfer,19703.39,Mobile-Android,"Mumbai, IN",3,0,Not Fraud,19,2,0
ATM Withdrawal,205.1,ATM,"Delhi, IN",3,0,Not Fraud,17,2,0
Card Swipe,343.25,Tablet,"Moscow, RU",1,4,Fraud,11,5,1
Wallet Top-up,463.28,Mobile-iOS,"Mumbai, IN",7,2,Not Fraud,8,1,0
Wallet Top-up,826.98,Tablet,"Moscow, RU",3,0,Not Fraud,16,4,0
Loan Application,871.83,ATM,"Lagos, NG",3,1,Fraud,20,5,1
Card Swipe,445.61,Mobile-iOS,"Berlin, DE",3,0,Not Fraud,14,6,1
Card Swipe,213.65,Desktop-Windows,"Dubai, AE",2,5,Not Fraud,13,3,0
Password Change,0.0,Desktop-Mac,"Chicago, US",2,0,Not Fraud,14,0,0
Loan Application,8391.79,Desktop-Windows,Unknown Location,4,0,Not Fraud,22,0,0
Card Swipe,254.39,Tablet,"Bangalore, IN",1,0,Not Fraud,11,4,0
ATM Withdrawal,272.98,Desktop-Windows,"Sao Paulo, BR",4,0,Not Fraud,19,3,0
Password Change,0.0,Desktop-Mac,"Berlin, DE",1,5,Not Fraud,15,5,1
Add Beneficiary,0.0,Desktop-Windows,"Sao Paulo, BR",1,0,Not Fraud,12,4,0
Bill Payment,2142.21,Tablet,"Singapore, SG",1,3,Not Fraud,19,5,1
Loan Application,6760.65,Tablet,"Toronto, CA",5,0,Not Fraud,19,1,0
Login,0.0,ATM,"Lagos, NG",1,0,Not Fraud,15,6,1
Loan Application,15503.39,Mobile-Android,"Lagos, NG",4,0,Fraud,12,1,0
Online Purchase,1234.08,ATM,"Sao Paulo, BR",1,0,Not Fraud,18,1,0
Card Swipe,267.48,Tablet,"Mumbai, IN",2,1,Not Fraud,11,4,0
ATM Withdrawal,283.46,POS-Terminal,"Houston, US",4,0,Not Fraud,10,5,1
ATM Withdrawal,69.72,ATM,"Mumbai, IN",4,0,Not Fraud,17,5,1
Password Change,0.0,Desktop-Mac,"Houston, US",5,0,Not Fraud,21,4,0
Loan Application,14830.77,Tablet,"London, UK",1,0,Not Fraud,10,2,0
Login,0.0,POS-Terminal,Unknown Location,6,0,Not Fraud,22,1,0
ATM Withdrawal,326.49,Mobile-iOS,"Sydney, AU",4,3,Not Fraud,21,1,0
Login,0.0,Mobile-iOS,Tor Exit Node,8,3,Fraud,23,2,0
Loan Application,12075.52,POS-Terminal,"Lagos, NG",2,3,Fraud,21,6,1
Money Transfer,6647.15,Mobile-iOS,"New York, US",2,0,Not Fraud,18,3,0
Add Beneficiary,0.0,Mobile-Android,"Houston, US",1,0,Not Fraud,14,5,1
Card Swipe,379.34,Tablet,"New York, US",3,1,Not Fraud,22,5,1
Bill Payment,1219.22,ATM,"Toronto, CA",1,3,Not Fraud,14,0,0
Online Purchase,2872.29,Desktop-Windows,"Delhi, IN",2,0,Not Fraud,13,3,0
Wallet Top-up,1343.01,Mobile-Android,"Los Angeles, US",2,0,Not Fraud,17,6,1
Money Transfer,13621.89,Tablet,"Bangalore, IN",1,0,Not Fraud,17,1,0
ATM Withdrawal,364.41,Mobile-iOS,"Lagos, NG",1,0,Not Fraud,12,3,0
Money Transfer,19723.44,ATM,"Chicago, US",3,1,Not Fraud,13,6,1
Card Swipe,436.11,POS-Terminal,"Singapore, SG",1,2,Not Fraud,21,1,0
Add Beneficiary,0.0,Mobile-Android,"Sao Paulo, BR",9,0,Not Fraud,14,5,1
Card Swipe,179.62,ATM,"Chicago, US",5,0,Not Fraud,10,5,1
Money Transfer,2062.89,ATM,"New York, US",4,0,Not Fraud,1,0,0
Login,0.0,POS-Terminal,"Lagos, NG",3,1,Not Fraud,8,0,0
Bill Payment,2957.16,Mobile-Android,"Lagos, NG",3,1,Not Fraud,14,2,0
Login,0.0,ATM,"Sydney, AU",3,0,Not Fraud,23,1,0
Wallet Top-up,1423.19,Mobile-iOS,"Berlin, DE",6,0,Not Fraud,20,1,0
Bill Payment,1168.32,Desktop-Mac,"Dubai, AE",1,1,Not Fraud,10,1,0
Add Beneficiary,0.0,Mobile-Android,"Houston, US",4,1,Not Fraud,17,1,0
Login,0.0,POS-Terminal,"Kolkata, IN",2,0,Not Fraud,9,4,0
Wallet Top-up,968.24,Desktop-Windows,"Toronto, CA",2,2,Not Fraud,10,0,0
Password Change,0.0,Mobile-Android,"Lagos, NG",1,0,Fraud,21,2,0
ATM Withdrawal,84.68,Mobile-iOS,"Sydney, AU",3,1,Not Fraud,11,5,1
Card Swipe,92.43,Tablet,"Sydney, AU",6,0,Not Fraud,19,4,0
Login,0.0,Mobile-Android,"Sao Paulo, BR",1,0,Not Fraud,12,5,1
Card Swipe,17.71,Tablet,"Sao Paulo, BR",2,0,Not Fraud,14,6,1
Money Transfer,10511.49,ATM,"Mumbai, IN",4,0,Not Fraud,10,3,0
Online Purchase,903.42,POS-Terminal,"Berlin, DE",1,0,Not Fraud,19,4,0
Bill Payment,252.64,Tablet,"Kolkata, IN",9,2,Not Fraud,19,2,0
ATM Withdrawal,32.82,Tablet,"Lagos, NG",1,3,Fraud,6,1,0
Add Beneficiary,0.0,Mobile-iOS,"Lagos, NG",5,1,Fraud,21,6,1
Money Transfer,10040.82,Mobile-iOS,"Dubai, AE",2,1,Fraud,23,1,0
ATM Withdrawal,393.94,Desktop-Mac,"Delhi, IN",3,1,Not Fraud,13,3,0
Online Purchase,2140.76,ATM,"Moscow, RU",4,0,Not Fraud,6,2,0
ATM Withdrawal,227.92,Mobile-iOS,"Delhi, IN",3,0,Not Fraud,18,3,0
Password Change,0.0,Desktop-Windows,"Dubai, AE",1,0,Not Fraud,15,6,1
Loan Application,10446.04,Desktop-Windows,"London, UK",1,0,Fraud,17,0,0
Card Swipe,393.51,Desktop-Mac,"Lagos, NG",1,0,Not Fraud,12,1,0
Password Change,0.0,Desktop-Windows,"Bangalore, IN",2,2,Not Fraud,19,5,1
Loan Application,18948.21,Desktop-Windows,"Toronto, CA",3,0,Not Fraud,9,5,1
ATM Withdrawal,410.08,Mobile-iOS,"Lagos, NG",2,1,Not Fraud,12,6,1
Card Swipe,400.87,ATM,"Berlin, DE",3,0,Not Fraud,19,2,0
Bill Payment,2147.13,Desktop-Mac,"Lagos, NG",2,3,Fraud,18,1,0
Password Change,0.0,POS-Terminal,"Singapore, SG",1,0,Not Fraud,17,0,0
Loan Application,19672.98,ATM,"Delhi, IN",1,0,Not Fraud,17,2,0
Add Beneficiary,0.0,Tablet,"Chicago, US",10,0,Not Fraud,13,3,0
Bill Payment,1048.24,Desktop-Mac,"Mumbai, IN",1,1,Not Fraud,11,2,0
ATM Withdrawal,31.89,POS-Terminal,"Chicago, US",5,3,Not Fraud,17,5,1
Wallet Top-up,484.61,Desktop-Mac,"Moscow, RU",1,1,Not Fraud,15,3,0
Card Swipe,300.18,Desktop-Windows,"Sao Paulo, BR",5,0,Not Fraud,12,5,1
Password Change,0.0,POS-Terminal,"Dubai, AE",2,0,Not Fraud,11,6,1
Loan Application,2328.93,ATM,"Beijing, CN",5,3,Not Fraud,11,4,0
Money Transfer,4809.53,Tablet,"Delhi, IN",3,0,Not Fraud,7,3,0
Wallet Top-up,504.76,Desktop-Mac,"Moscow, RU",5,4,Fraud,11,0,0
Add Beneficiary,0.0,Desktop-Mac,"Beijing, CN",2,2,Not Fraud,22,2,0
Loan Application,665.67,Mobile-iOS,"Sydney, AU",1,0,Not Fraud,18,2,0
Money Transfer,11475.65,Tablet,"Dubai, AE",1,1,Not Fraud,10,4,0
ATM Withdrawal,438.66,ATM,"Los Angeles, US",5,0,Not Fraud,1,5,1
Loan Application,12673.77,ATM,"Houston, US",1,0,Fraud,8,5,1
Bill Payment,974.34,ATM,"Sydney, AU",6,2,Not Fraud,17,0,0
ATM Withdrawal,434.85,Mobile-iOS,"Sao Paulo, BR",5,1,Not Fraud,8,2,0
Loan Application,12666.42,POS-Terminal,"Berlin, DE",4,0,Fraud,16,0,0
Card Swipe,170.37,Mobile-Android,"Sao Paulo, BR",2,1,Not Fraud,0,0,0
Online Purchase,2904.55,ATM,"Toronto, CA",2,0,Not Fraud,19,0,0
Login,0.0,Mobile-Android,"Chicago, US",5,0,Not Fraud,7,0,0
Bill Payment,2647.03,Desktop-Windows,"Los Angeles, US",2,0,Not Fraud,11,2,0
ATM Withdrawal,365.73,POS-Terminal,"Los Angeles, US",1,0,Not Fraud,18,4,0
Login,0.0,ATM,"Delhi, IN",1,0,Not Fraud,0,4,0
Money Transfer,6301.36,ATM,"Sao Paulo, BR",1,5,Not Fraud,20,4,0
Loan Application,219.07,Mobile-iOS,"Moscow, RU",1,0,Not Fraud,16,4,0
Money Transfer,2843.26,Desktop-Mac,"Toronto, CA",1,0,Not Fraud,8,0,0
Login,0.0,Mobile-iOS,"Sydney, AU",2,1,Not Fraud,19,2,0
Card Swipe,199.08,Tablet,"Singapore, SG",1,0,Not Fraud,10,6,1
Password Change,0.0,ATM,"Los Angeles, US",3,0,Not Fraud,14,3,0
Add Beneficiary,0.0,ATM,"Delhi, IN",4,0,Not Fraud,14,4,0
ATM Withdrawal,48.72,Desktop-Windows,"Delhi, IN",3,2,Not Fraud,21,6,1
Online Purchase,178.43,Tablet,"Moscow, RU",2,1,Not Fraud,6,6,1
Bill Payment,1491.76,POS-Terminal,"London, UK",2,1,Not Fraud,11,2,0
Password Change,0.0,Desktop-Windows,"Sao Paulo, BR",3,0,Not Fraud,19,4,0
Login,0.0,Mobile-iOS,"London, UK",1,0,Not Fraud,14,5,1
Login,0.0,Mobile-Android,"Bangalore, IN",2,0,Not Fraud,2,1,0
Password Change,0.0,Desktop-Windows,"Dubai, AE",3,0,Not Fraud,10,6,1
Wallet Top-up,2944.33,ATM,"Toronto, CA",5,0,Not Fraud,22,2,0
Online Purchase,878.33,Desktop-Mac,"Mumbai, IN",9,5,Not Fraud,18,1,0
Bill Payment,24.1,POS-Terminal,"Dubai, AE",6,4,Not Fraud,12,6,1
Money Transfer,4143.63,Mobile-iOS,"Sao Paulo, BR",1,3,Fraud,23,3,0
Money Transfer,11636.37,Mobile-Android,"Lagos, NG",1,1,Not Fraud,14,4,0
Add Beneficiary,0.0,Desktop-Mac,"Toronto, CA",1,0,Not Fraud,17,6,1
Bill Payment,1351.45,ATM,"Houston, US",2,0,Not Fraud,11,2,0
ATM Withdrawal,414.93,ATM,"Mumbai, IN",1,0,Not Fraud,17,5,1
Login,0.0,Mobile-Android,"Kolkata, IN",5,0,Not Fraud,17,4,0
Money Transfer,288.54,ATM,"Delhi, IN",3,3,Not Fraud,19,3,0
Money Transfer,484.91,ATM,"Chicago, US",6,2,Not Fraud,5,3,0
Card Swipe,34.81,Desktop-Mac,"Sydney, AU",2,0,Not Fraud,21,5,1
ATM Withdrawal,147.13,Tablet,"London, UK",1,0,Not Fraud,20,6,1
Bill Payment,1260.61,POS-Terminal,"Kolkata, IN",2,0,Not Fraud,16,2,0
Wallet Top-up,2345.4,Desktop-Mac,"Toronto, CA",1,0,Not Fraud,11,0,0
Card Swipe,269.42,Mobile-iOS,"Beijing, CN",1,2,Not Fraud,18,6,1
Password Change,0.0,Mobile-iOS,"Lagos, NG",5,1,Not Fraud,21,5,1
Loan Application,18969.95,Tablet,"Toronto, CA",2,0,Not Fraud,19,2,0
Card Swipe,10.33,Desktop-Windows,"Sao Paulo, BR",6,2,Not Fraud,21,0,0
Bill Payment,1761.89,Tablet,"Dubai, AE",8,0,Not Fraud,21,1,0
Password Change,0.0,ATM,"Moscow, RU",2,0,Not Fraud,8,1,0
Add Beneficiary,0.0,Mobile-iOS,"Sao Paulo, BR",7,3,Fraud,11,6,1
Bill Payment,1809.15,Tablet,"Los Angeles, US",2,0,Not Fraud,21,4,0
Money Transfer,16442.15,Desktop-Mac,"New York, US",1,1,Not Fraud,17,3,0
Login,0.0,Mobile-iOS,"Singapore, SG",2,0,Not Fraud,3,4,0
Loan Application,13036.84,ATM,"Dubai, AE",1,0,Not Fraud,17,6,1
Bill Payment,2664.35,Mobile-Android,"Mumbai, IN",9,2,Not Fraud,8,0,0
Bill Payment,165.4,Tablet,"Sao Paulo, BR",4,0,Not Fraud,11,5,1
Add Beneficiary,0.0,Mobile-Android,"Mumbai, IN",2,0,Not Fraud,15,6,1
Bill Payment,1916.38,Desktop-Windows,"Berlin, DE",2,2,Not Fraud,23,3,0
Add Beneficiary,0.0,Mobile-iOS,"Bangalore, IN",1,0,Not Fraud,9,5,1
Bill Payment,2257.94,ATM,"Lagos, NG",9,0,Not Fraud,17,6,1
Add Beneficiary,0.0,Desktop-Mac,"Lagos, NG",1,0,Not Fraud,22,3,0
Loan Application,18014.08,Mobile-Android,"Kolkata, IN",2,3,Not Fraud,19,4,0
Login,0.0,ATM,"Moscow, RU",5,0,Not Fraud,12,4,0
Wallet Top-up,1195.08,ATM,"New York, US",4,0,Not Fraud,11,0,0
Bill Payment,448.86,Mobile-Android,"Lagos, NG",1,0,Not Fraud,15,0,0
Card Swipe,290.29,Mobile-iOS,"Moscow, RU",3,0,Not Fraud,13,0,0
Login,0.0,Desktop-Windows,"New York, US",5,0,Not Fraud,18,0,0
Online Purchase,407.48,Desktop-Windows,"London, UK",2,0,Not Fraud,23,3,0
Add Beneficiary,0.0,Desktop-Windows,"Dubai, AE",2,0,Not Fraud,18,0,0
Bill Payment,2342.65,Mobile-iOS,"Singapore, SG",1,0,Not Fraud,14,4,0
Password Change,0.0,Desktop-Mac,"Sydney, AU",3,0,Not Fraud,17,2,0
Card Swipe,301.08,Tablet,"Mumbai, IN",1,2,Not Fraud,9,5,1
Bill Payment,2562.19,POS-Terminal,"London, UK",1,1,Not Fraud,18,2,0
Bill Payment,1943.88,Tablet,"Berlin, DE",2,4,Fraud,15,3,0
Card Swipe,133.48,Tablet,"Delhi, IN",1,0,Not Fraud,13,3,0
ATM Withdrawal,345.36,Desktop-Windows,"Dubai, AE",1,1,Not Fraud,13,4,0
Wallet Top-up,2297.6,ATM,"Moscow, RU",3,1,Not Fraud,21,4,0
ATM Withdrawal,454.39,POS-Terminal,"Kolkata, IN",5,0,Not Fraud,12,4,0
Password Change,0.0,POS-Terminal,"Singapore, SG",1,0,Not Fraud,14,0,0
Password Change,0.0,POS-Terminal,"Singapore, SG",2,2,Not Fraud,16,3,0
Card Swipe,427.09,Tablet,Tor Exit Node,1,2,Not Fraud,13,4,0
ATM Withdrawal,212.42,Desktop-Windows,"Delhi, IN",3,3,Not Fraud,20,4,0
Bill Payment,2337.93,POS-Terminal,"Los Angeles, US",2,0,Not Fraud,13,5,1
Card Swipe,394.75,POS-Terminal,"Delhi, IN",2,0,Not Fraud,18,1,0
Online Purchase,2193.32,ATM,"Sydney, AU",1,0,Not Fraud,22,6,1
ATM Withdrawal,73.18,Mobile-Android,"Dubai, AE",1,0,Not Fraud,12,2,0
Card Swipe,186.03,Desktop-Mac,"New York, US",1,5,Not Fraud,9,6,1
