  ,activity,amount,timestamp,device,location,frequency,failed_attempts,previous_behavior,risk_label
user_7866,Loan Application,14858.27,26-01-2025 08:26,ATM,"Sydney, AU",2,4,Regular user - consistent pattern,Fraud
user_4559,Card Swipe,227.9,25-06-2025 10:23,Desktop-Windows,"Lagos, NG",9,0,Multiple device switches,Fraud
user_4109,Money Transfer,18982.77,24-02-2025 19:05,POS-Terminal,"Moscow, RU",9,0,Dormant account - reactivated,Fraud
user_3063,Loan Application,4143.85,31-05-2025 19:35,Mobile-iOS,"Dubai, AE",1,1,Regular user - consistent pattern,Not Fraud
user_3370,Bill Payment,1622.95,10-08-2025 19:07,Mobile-Android,"Chicago, US",2,1,Dormant account - reactivated,Not Fraud
user_1858,Bill Payment,2226.45,02-05-2025 14:47,Desktop-Mac,"Berlin, DE",2,0,Frequent user - daily activity,Not Fraud
user_1710,Wallet Top-up,908.38,03-05-2025 16:01,ATM,"Delhi, IN",3,0,Consistent single-device user,Not Fraud
user_2323,Password Change,0,12-03-2025 16:04,Tablet,"Moscow, RU",2,0,Recently flagged - suspicious history,Fraud
user_8048,Money Transfer,15872.27,13-08-2025 07:41,ATM,"Lagos, NG",5,0,Frequent user - daily activity,Fraud
user_6553,Card Swipe,205.38,22-03-2025 18:20,POS-Terminal,"London, UK",8,1,Consistent single-device user,Not Fraud
user_2494,Money Transfer,1909.94,27-07-2025 07:47,Mobile-iOS,"Lagos, NG",3,0,Dormant account - reactivated,Not Fraud
user_7730,Password Change,0,11-08-2025 20:48,POS-Terminal,"New York, US",1,0,New user - no history,Not Fraud
user_9313,Online Purchase,468.42,31-03-2025 13:54,ATM,"Lagos, NG",1,0,Frequent user - daily activity,Not Fraud
user_1430,Loan Application,18585.23,16-02-2025 19:17,Desktop-Windows,"Beijing, CN",2,0,Regular user - consistent pattern,Not Fraud
user_3347,Loan Application,13164.03,08-01-2025 05:47,Mobile-Android,"Sao Paulo, BR",1,0,Dormant account - reactivated,Not Fraud
user_6314,Loan Application,11944.66,13-07-2025 20:09,Tablet,"New York, US",1,0,Multiple device switches,Fraud
user_7785,ATM Withdrawal,115.63,29-01-2025 14:22,Desktop-Windows,"Beijing, CN",3,0,Recently flagged - suspicious history,Not Fraud
user_4612,Add Beneficiary,0,22-02-2025 23:03,Desktop-Windows,Tor Exit Node,4,1,Recently flagged - suspicious history,Fraud
user_2965,Login,0,03-02-2025 14:27,Desktop-Mac,"Sydney, AU",1,0,Dormant account - reactivated,Not Fraud
user_7505,Login,0,20-01-2025 13:29,ATM,"Toronto, CA",2,0,Multiple device switches,Not Fraud
user_2887,Add Beneficiary,0,25-07-2025 00:20,Tablet,"Bangalore, IN",3,0,Multiple device switches,Not Fraud
user_8138,Loan Application,8038.97,10-07-2025 06:55,Desktop-Windows,"London, UK",4,0,New user - no history,Not Fraud
user_9355,Online Purchase,2718.24,15-06-2025 11:46,ATM,"Chicago, US",1,0,Occasional user - sporadic activity,Not Fraud
user_3504,Money Transfer,3584.07,13-07-2025 18:31,Tablet,"Berlin, DE",2,3,Dormant account - reactivated,Not Fraud
user_3473,Card Swipe,43.46,12-03-2025 13:19,Tablet,"Los Angeles, US",2,0,Consistent single-device user,Not Fraud
user_5703,Money Transfer,12911.1,02-06-2025 23:05,Tablet,"Delhi, IN",3,4,Regular user - consistent pattern,Fraud
user_4084,Password Change,0,16-01-2025 15:32,Desktop-Mac,"Los Angeles, US",6,0,New user - no history,Not Fraud
user_3827,Login,0,15-05-2025 10:28,Tablet,"Moscow, RU",2,3,Multiple device switches,Fraud
user_1857,Password Change,0,23-06-2025 05:06,Desktop-Mac,"Toronto, CA",4,1,Occasional user - sporadic activity,Not Fraud
user_2335,Loan Application,13289.06,28-06-2025 21:19,POS-Terminal,"Delhi, IN",3,3,Recently flagged - suspicious history,Fraud
user_7171,Password Change,0,01-08-2025 19:42,POS-Terminal,"Kolkata, IN",6,0,Multiple device switches,Not Fraud
user_6928,Login,0,29-03-2025 12:11,ATM,"Bangalore, IN",1,0,New user - no history,Not Fraud
user_2657,Wallet Top-up,2313.77,10-01-2025 19:56,POS-Terminal,"Mumbai, IN",4,0,Multiple device switches,Not Fraud
user_3658,Bill Payment,2494.88,12-02-2025 18:51,POS-Terminal,"Bangalore, IN",2,1,Frequent user - daily activity,Not Fraud
user_5668,Card Swipe,124.66,01-05-2025 10:51,ATM,"Houston, US",3,0,Consistent single-device user,Not Fraud
user_5616,Add Beneficiary,0,29-07-2025 14:26,Mobile-iOS,"Berlin, DE",1,0,Consistent single-device user,Not Fraud
user_2680,Wallet Top-up,2554.24,11-03-2025 10:48,Desktop-Mac,"Singapore, SG",1,0,Frequent user - daily activity,Not Fraud
user_6727,Login,0,06-04-2025 12:25,Mobile-iOS,"Delhi, IN",1,0,Dormant account - reactivated,Not Fraud
user_6493,Bill Payment,417.11,28-06-2025 10:53,ATM,"Chicago, US",4,0,Regular user - consistent pattern,Not Fraud
user_1311,ATM Withdrawal,115.67,16-05-2025 08:46,Desktop-Mac,"Chicago, US",1,0,Regular user - consistent pattern,Not Fraud
user_7878,Loan Application,9169.42,02-06-2025 07:57,Tablet,"New York, US",2,0,Occasional user - sporadic activity,Not Fraud
user_6780,Online Purchase,1714.14,15-05-2025 09:42,Desktop-Windows,"Los Angeles, US",2,0,Regular user - consistent pattern,Not Fraud
user_8702,Login,0,11-07-2025 16:23,Mobile-Android,"Mumbai, IN",1,0,New user - no history,Not Fraud
user_3185,Login,0,14-06-2025 11:21,Mobile-iOS,"Dubai, AE",3,5,Consistent single-device user,Not Fraud
user_3209,Money Transfer,14335.1,21-02-2025 22:02,Mobile-Android,"Berlin, DE",6,0,Recently flagged - suspicious history,Fraud
user_8756,ATM Withdrawal,27.94,09-08-2025 16:18,ATM,"New York, US",3,0,Dormant account - reactivated,Not Fraud
user_7553,Card Swipe,448.37,27-06-2025 12:11,Desktop-Mac,"Mumbai, IN",4,0,New user - no history,Not Fraud
user_2293,Add Beneficiary,0,20-05-2025 15:52,Desktop-Windows,"Toronto, CA",1,1,Recently flagged - suspicious history,Not Fraud
user_7981,Bill Payment,2070.85,11-08-2025 11:02,Desktop-Windows,"Moscow, RU",2,0,Regular user - consistent pattern,Not Fraud
user_7655,Password Change,0,10-02-2025 14:47,Mobile-Android,"Chicago, US",3,1,Regular user - consistent pattern,Not Fraud
user_7001,Password Change,0,04-06-2025 12:36,Mobile-iOS,"Beijing, CN",7,0,New user - no history,Not Fraud
user_3255,Wallet Top-up,1104.02,30-01-2025 11:17,Mobile-Android,"Sao Paulo, BR",2,0,New user - no history,Not Fraud
user_8311,Online Purchase,2989.11,21-02-2025 10:58,Mobile-Android,"Chicago, US",1,0,Consistent single-device user,Not Fraud
user_6692,Money Transfer,11022.44,10-02-2025 11:19,POS-Terminal,"Sao Paulo, BR",4,0,Dormant account - reactivated,Not Fraud
user_4673,Money Transfer,19703.39,07-05-2025 19:15,Mobile-Android,"Mumbai, IN",3,0,Occasional user - sporadic activity,Not Fraud
user_2077,ATM Withdrawal,205.1,16-04-2025 17:30,ATM,"Delhi, IN",3,0,Dormant account - reactivated,Not Fraud
user_8372,Card Swipe,343.25,19-07-2025 11:56,Tablet,"Moscow, RU",1,4,Multiple device switches,Fraud
user_3034,Wallet Top-up,463.28,01-07-2025 08:20,Mobile-iOS,"Mumbai, IN",7,2,New user - no history,Not Fraud
user_4216,Wallet Top-up,826.98,24-01-2025 16:39,Tablet,"Moscow, RU",3,0,Occasional user - sporadic activity,Not Fraud
user_6531,Loan Application,871.83,14-06-2025 20:05,ATM,"Lagos, NG",3,1,Multiple device switches,Fraud
user_1496,Card Swipe,445.61,04-05-2025 14:41,Mobile-iOS,"Berlin, DE",3,0,New user - no history,Not Fraud
user_3589,Card Swipe,213.65,06-02-2025 13:21,Desktop-Windows,"Dubai, AE",2,5,Dormant account - reactivated,Not Fraud
user_3142,Password Change,0,03-03-2025 14:06,Desktop-Mac,"Chicago, US",2,0,Regular user - consistent pattern,Not Fraud
user_7293,Loan Application,8391.79,28-07-2025 22:57,Desktop-Windows,Unknown Location,4,0,Occasional user - sporadic activity,Not Fraud
user_9433,Card Swipe,254.39,11-04-2025 11:01,Tablet,"Bangalore, IN",1,0,Regular user - consistent pattern,Not Fraud
user_8710,ATM Withdrawal,272.98,14-08-2025 19:27,Desktop-Windows,"Sao Paulo, BR",4,0,Multiple device switches,Not Fraud
user_4189,Password Change,0,10-05-2025 15:04,Desktop-Mac,"Berlin, DE",1,5,New user - no history,Not Fraud
user_2584,Add Beneficiary,0,29-08-2025 12:21,Desktop-Windows,"Sao Paulo, BR",1,0,Regular user - consistent pattern,Not Fraud
user_1637,Bill Payment,2142.21,08-02-2025 19:33,Tablet,"Singapore, SG",1,3,Dormant account - reactivated,Not Fraud
user_5902,Loan Application,6760.65,01-07-2025 19:34,Tablet,"Toronto, CA",5,0,New user - no history,Not Fraud
user_6040,Login,0,20-07-2025 15:16,ATM,"Lagos, NG",1,0,Consistent single-device user,Not Fraud
user_9589,Loan Application,15503.39,04-03-2025 12:52,Mobile-Android,"Lagos, NG",4,0,Consistent single-device user,Fraud
user_7765,Online Purchase,1234.08,12-08-2025 18:58,ATM,"Sao Paulo, BR",1,0,Frequent user - daily activity,Not Fraud
user_6325,Card Swipe,267.48,22-08-2025 11:11,Tablet,"Mumbai, IN",2,1,Recently flagged - suspicious history,Not Fraud
user_5038,ATM Withdrawal,283.46,15-03-2025 10:19,POS-Terminal,"Houston, US",4,0,Dormant account - reactivated,Not Fraud
user_5480,ATM Withdrawal,69.72,12-04-2025 17:24,ATM,"Mumbai, IN",4,0,Regular user - consistent pattern,Not Fraud
user_2294,Password Change,0,11-07-2025 21:41,Desktop-Mac,"Houston, US",5,0,Recently flagged - suspicious history,Not Fraud
user_2789,Loan Application,14830.77,20-08-2025 10:03,Tablet,"London, UK",1,0,Dormant account - reactivated,Not Fraud
user_3252,Login,0,15-04-2025 22:59,POS-Terminal,Unknown Location,6,0,Frequent user - daily activity,Not Fraud
user_6262,ATM Withdrawal,326.49,27-05-2025 21:05,Mobile-iOS,"Sydney, AU",4,3,Occasional user - sporadic activity,Not Fraud
user_3880,Login,0,07-05-2025 23:25,Mobile-iOS,Tor Exit Node,8,3,Regular user - consistent pattern,Fraud
user_5888,Loan Application,12075.52,27-04-2025 21:21,POS-Terminal,"Lagos, NG",2,3,Consistent single-device user,Fraud
user_4159,Money Transfer,6647.15,03-07-2025 18:41,Mobile-iOS,"New York, US",2,0,Frequent user - daily activity,Not Fraud
user_7643,Add Beneficiary,0,21-06-2025 14:05,Mobile-Android,"Houston, US",1,0,Frequent user - daily activity,Not Fraud
user_4858,Card Swipe,379.34,05-07-2025 22:19,Tablet,"New York, US",3,1,Regular user - consistent pattern,Not Fraud
user_6026,Bill Payment,1219.22,30-06-2025 14:57,ATM,"Toronto, CA",1,3,Recently flagged - suspicious history,Not Fraud
user_4618,Online Purchase,2872.29,05-06-2025 13:29,Desktop-Windows,"Delhi, IN",2,0,Frequent user - daily activity,Not Fraud
user_2341,Wallet Top-up,1343.01,25-05-2025 17:04,Mobile-Android,"Los Angeles, US",2,0,Occasional user - sporadic activity,Not Fraud
user_8239,Money Transfer,13621.89,19-08-2025 17:31,Tablet,"Bangalore, IN",1,0,Multiple device switches,Not Fraud
user_8575,ATM Withdrawal,364.41,10-07-2025 12:52,Mobile-iOS,"Lagos, NG",1,0,New user - no history,Not Fraud
user_1987,Money Transfer,19723.44,16-02-2025 13:18,ATM,"Chicago, US",3,1,Multiple device switches,Not Fraud
user_7266,Card Swipe,436.11,24-06-2025 21:24,POS-Terminal,"Singapore, SG",1,2,New user - no history,Not Fraud
user_9802,Add Beneficiary,0,02-08-2025 14:46,Mobile-Android,"Sao Paulo, BR",9,0,Multiple device switches,Not Fraud
user_5055,Card Swipe,179.62,05-07-2025 10:59,ATM,"Chicago, US",5,0,Regular user - consistent pattern,Not Fraud
user_4376,Money Transfer,2062.89,30-06-2025 01:38,ATM,"New York, US",4,0,Frequent user - daily activity,Not Fraud
user_4559,Login,0,28-07-2025 08:18,POS-Terminal,"Lagos, NG",3,1,Dormant account - reactivated,Not Fraud
user_5944,Bill Payment,2957.16,12-03-2025 14:26,Mobile-Android,"Lagos, NG",3,1,Occasional user - sporadic activity,Not Fraud
user_9120,Login,0,08-04-2025 23:41,ATM,"Sydney, AU",3,0,Recently flagged - suspicious history,Not Fraud
user_4012,Wallet Top-up,1423.19,01-07-2025 20:19,Mobile-iOS,"Berlin, DE",6,0,Multiple device switches,Not Fraud
user_9683,Bill Payment,1168.32,21-01-2025 10:21,Desktop-Mac,"Dubai, AE",1,1,Frequent user - daily activity,Not Fraud
user_5398,Add Beneficiary,0,12-08-2025 17:38,Mobile-Android,"Houston, US",4,1,Frequent user - daily activity,Not Fraud
user_5967,Login,0,31-01-2025 09:12,POS-Terminal,"Kolkata, IN",2,0,Frequent user - daily activity,Not Fraud
user_4921,Wallet Top-up,968.24,16-06-2025 10:29,Desktop-Windows,"Toronto, CA",2,2,Consistent single-device user,Not Fraud
user_8692,Password Change,0,16-04-2025 21:23,Mobile-Android,"Lagos, NG",1,0,Recently flagged - suspicious history,Fraud
user_7841,ATM Withdrawal,84.68,02-08-2025 11:24,Mobile-iOS,"Sydney, AU",3,1,Recently flagged - suspicious history,Not Fraud
user_9037,Card Swipe,92.43,04-07-2025 19:10,Tablet,"Sydney, AU",6,0,Regular user - consistent pattern,Not Fraud
user_1794,Login,0,01-03-2025 12:53,Mobile-Android,"Sao Paulo, BR",1,0,Dormant account - reactivated,Not Fraud
user_8916,Card Swipe,17.71,05-01-2025 14:26,Tablet,"Sao Paulo, BR",2,0,Multiple device switches,Not Fraud
user_2753,Money Transfer,10511.49,06-03-2025 10:39,ATM,"Mumbai, IN",4,0,Multiple device switches,Not Fraud
user_4984,Online Purchase,903.42,08-08-2025 19:05,POS-Terminal,"Berlin, DE",1,0,Consistent single-device user,Not Fraud
user_1154,Bill Payment,252.64,26-03-2025 19:41,Tablet,"Kolkata, IN",9,2,Regular user - consistent pattern,Not Fraud
user_8790,ATM Withdrawal,32.82,19-08-2025 06:59,Tablet,"Lagos, NG",1,3,Dormant account - reactivated,Fraud
user_3362,Add Beneficiary,0,25-05-2025 21:19,Mobile-iOS,"Lagos, NG",5,1,Dormant account - reactivated,Fraud
user_3292,Money Transfer,10040.82,22-04-2025 23:03,Mobile-iOS,"Dubai, AE",2,1,Multiple device switches,Fraud
user_1485,ATM Withdrawal,393.94,22-05-2025 13:14,Desktop-Mac,"Delhi, IN",3,1,New user - no history,Not Fraud
user_5839,Online Purchase,2140.76,02-07-2025 06:09,ATM,"Moscow, RU",4,0,New user - no history,Not Fraud
user_1085,ATM Withdrawal,227.92,23-01-2025 18:06,Mobile-iOS,"Delhi, IN",3,0,New user - no history,Not Fraud
user_2468,Password Change,0,20-07-2025 15:38,Desktop-Windows,"Dubai, AE",1,0,New user - no history,Not Fraud
user_4977,Loan Application,10446.04,10-03-2025 17:10,Desktop-Windows,"London, UK",1,0,Recently flagged - suspicious history,Fraud
user_5911,Card Swipe,393.51,10-06-2025 12:15,Desktop-Mac,"Lagos, NG",1,0,Recently flagged - suspicious history,Not Fraud
user_7483,Password Change,0,09-08-2025 19:24,Desktop-Windows,"Bangalore, IN",2,2,Occasional user - sporadic activity,Not Fraud
user_6253,Loan Application,18948.21,12-04-2025 09:20,Desktop-Windows,"Toronto, CA",3,0,Frequent user - daily activity,Not Fraud
user_7161,ATM Withdrawal,410.08,25-05-2025 12:07,Mobile-iOS,"Lagos, NG",2,1,Regular user - consistent pattern,Not Fraud
user_4434,Card Swipe,400.87,06-08-2025 19:04,ATM,"Berlin, DE",3,0,Recently flagged - suspicious history,Not Fraud
user_5139,Bill Payment,2147.13,03-06-2025 18:04,Desktop-Mac,"Lagos, NG",2,3,Multiple device switches,Fraud
